EventID,Proyek,Sumber Lead,Tanggal,Hari Ke,Target Lead Harian,Leads Didapat,Cumulative Leads,Achievement %
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Jumat, 02 Januari 2026",2,,2,4,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Sabtu, 03 Januari 2026",3,,0,4,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Minggu, 04 Januari 2026",4,,0,4,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Senin, 05 Januari 2026",5,,2,6,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Selasa, 06 Januari 2026",6,,0,6,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Rabu, 07 Januari 2026",7,,2,8,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Kamis, 08 Januari 2026",8,,0,8,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Jumat, 09 Januari 2026",9,,3,11,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Sabtu, 10 Januari 2026",10,,0,11,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Minggu, 11 Januari 2026",11,,2,13,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Senin, 12 Januari 2026",12,,2,15,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Selasa, 13 Januari 2026",13,,0,15,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Rabu, 14 Januari 2026",14,,3,18,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Kamis, 15 Januari 2026",15,,3,21,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Jumat, 16 Januari 2026",16,,0,21,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Sabtu, 17 Januari 2026",17,,0,21,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Minggu, 18 Januari 2026",18,,0,21,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Senin, 19 Januari 2026",19,,4,25,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Selasa, 20 Januari 2026",20,,3,28,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Rabu, 21 Januari 2026",21,,2,30,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Kamis, 22 Januari 2026",22,,2,32,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Jumat, 23 Januari 2026",23,,0,32,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Sabtu, 24 Januari 2026",24,,0,32,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Minggu, 25 Januari 2026",25,,0,32,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Senin, 26 Januari 2026",26,,0,32,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Selasa, 27 Januari 2026",27,,2,34,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Rabu, 28 Januari 2026",28,,0,34,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Kamis, 29 Januari 2026",29,,3,37,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Jumat, 30 Januari 2026",30,,3,40,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Sabtu, 31 Januari 2026",31,,0,40,
EV-20260101-MLONGG-07,MLONGGO 2,Promo UTJ 250 Ribu,"Jumat, 30 Januari 2026",30,,1,2,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Minggu, 01 Februari 2026",32,,0,4,
EV-20260101-MLONGG-07,MLONGGO 2,Promo UTJ 250 Ribu,"Minggu, 01 Februari 2026",32,,0,2,
EV-20260101-MLONGG-10,MLONGGO 1,Brosur 2 Muka,"Minggu, 01 Februari 2026",32,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Minggu, 01 Februari 2026",32,,0,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Minggu, 01 Februari 2026",32,,0,6,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Senin, 02 Februari 2026",33,,0,4,
EV-20260101-MLONGG-07,MLONGGO 2,Promo UTJ 250 Ribu,"Senin, 02 Februari 2026",33,,0,2,
EV-20260101-MLONGG-10,MLONGGO 1,Brosur 2 Muka,"Senin, 02 Februari 2026",33,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Senin, 02 Februari 2026",33,,0,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Senin, 02 Februari 2026",33,,0,6,
